Dataset,DrCIF,ST,MUSE,SVM-Linear,SVM-RBF,kNN-ED,kNN-DTW,TapNet,MIHT
ArrowHead,1.0,1.0,1.0,0.25,0.6388888888888888,1.0,1.0,0.5833333333333334,0.6666666666666666
UnitTest,1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,0.75
ArticularyWordRecognition,1.0,1.0,1.0,0.16,0.96,1.0,1.0,1.0,0.9890909090909091
AtrialFibrillation,1.0,1.0,1.0,0.5333333333333333,0.4666666666666667,1.0,1.0,1.0,0.6666666666666666
BasicMotions,1.0,1.0,1.0,1.0,0.975,1.0,1.0,1.0,1.0
Cricket,1.0,1.0,1.0,0.25,0.9166666666666666,1.0,1.0,0.9907407407407407,1.0
DuckDuckGeese,1.0,1.0,1.0,1.0,0.32,1.0,1.0,0.58,0.96
EigenWorms,1.0,1.0,1.0,0.4609375,0.4296875,1.0,1.0,,0.8671875
FingerMovements,1.0,1.0,1.0,0.49683544303797467,0.5031645569620253,1.0,1.0,0.9968354430379747,0.9651898734177216
Heartbeat,1.0,1.0,1.0,0.7205882352941176,0.5784313725490197,1.0,1.0,0.8725490196078431,0.7205882352941176
MotorImagery,1.0,1.0,1.0,0.6654676258992805,1.0,1.0,1.0,1.0,0.9928057553956835
SelfRegulationSCP1,1.0,1.0,1.0,0.43656716417910446,0.503731343283582,1.0,1.0,0.9589552238805971,0.8880597014925373
SelfRegulationSCP2,1.0,1.0,1.0,0.465,0.66,1.0,1.0,0.825,0.945
StandWalkJump,1.0,1.0,1.0,0.75,0.5833333333333334,1.0,1.0,1.0,1.0
AsphaltRegularity,1.0,1.0,1.0,0.4673768308921438,0.7882822902796272,1.0,,0.9400798934753661,0.8841544607190412
AllGestureWiimoteX,1.0,0.9966666666666667,0.73,0.16333333333333333,0.2966666666666667,0.9966666666666667,,0.31,0.36666666666666664
AllGestureWiimoteY,0.9733333333333334,0.9433333333333334,0.41333333333333333,0.18,0.28,0.9933333333333333,,0.36666666666666664,0.33666666666666667
AllGestureWiimoteZ,1.0,1.0,1.0,0.17666666666666667,0.27666666666666667,1.0,,0.5566666666666666,0.35
GesturePebbleZ2,1.0,1.0,1.0,0.4589041095890411,0.4383561643835616,1.0,,0.6232876712328768,0.7123287671232876
PickupGestureWiimoteZ,1.0,1.0,1.0,0.42,0.38,1.0,,0.44,0.44
AsphaltObstaclesCoordinates,1.0,1.0,1.0,0.24871794871794872,0.44871794871794873,1.0,,1.0,0.441025641025641
AsphaltRegularityCoordinates,1.0,1.0,1.0,0.507323568575233,0.7083888149134487,1.0,,0.9800266311584553,0.929427430093209
InsectWingbeat,,,0.4498,,,1.0,,0.37972,0.40168
JapaneseVowels,1.0,1.0,0.9925925925925926,0.9555555555555556,0.9740740740740741,1.0,,1.0,1.0
SpokenArabicDigits,,1.0,0.7825428095165934,0.5243218669495379,,1.0,,0.7929989392332172,0.8151235035611456
