Dataset,MIHT,DrCIF,ST,MUSE,Rocket,SVM-Linear,SVM-RBF,kNN-ED,kNN-DTW,TapNet,InceptionTime,HIVECOTEV2
AsphaltObstacles,11.084337,5.203043,20.099482,0.684314,1.725308,1.417503,1.41736,1.703476,1.703463,7.668267170659055,6.150075932508749,757.333498
AsphaltPavementType,28.066373,6.914535,37.893954,2.291756,1.566079,5.054395,5.054172,10.038879,10.038866,23.858862175620335,22.896522033915822,2559.307327
AsphaltRegularity,5.779676,2.776509,30.437925,0.524042,1.244501,3.535891,3.535888,5.312401,5.312372,5.654927252518584,5.673510574922732,1606.233233
AllGestureWiimoteX,4.689615,12.577695,14.188018,0.020691,2.686594,0.482408,0.482177,0.764245,0.764235,0.11253170179546576,-0.2852290200885864,353.678964
AllGestureWiimoteY,15.222377,14.047595,12.042689,0.009839,2.685546,0.495736,0.495353,0.754321,0.754295,-0.7169294714034593,-0.44020776446125853,318.821361
AllGestureWiimoteZ,7.023977,10.471366,18.999063,0.314385,2.685778,0.484116,0.484265,0.837033,0.837007,2.7821069382195165,3.1386037032592977,322.861366
GestureMidAirD1,16.388032,13.47078,18.941872,7.180989,5.24712,0.473448,0.473853,0.771977,0.537242,70.8754998883633,72.15773229091732,397.979554
GestureMidAirD2,16.387314,14.139019,19.55989,6.237281,5.24916,0.473856,0.473853,0.771977,0.537226,63.09358485307635,62.91817650922064,411.880935
GestureMidAirD3,16.389888,16.430502,19.835774,5.740761,5.24748,0.473448,0.473853,0.537267,0.537242,58.07908309290382,56.64172645193658,429.352291
GesturePebbleZ1,5.257312,2.376104,7.241992,0.760229,2.046854,0.383474,0.384219,0.312164,0.312151,7.404511933692965,7.012026408850694,181.097991
GesturePebbleZ2,5.046197,2.680117,8.598834,0.489537,2.045038,0.405958,0.406131,0.337024,0.337011,5.813609728777735,5.741000494328162,213.225058
PickupGestureWiimoteZ,5.467579,1.668608,3.363205,0.125963,2.685632,0.091853,0.09185,0.038542,0.038516,1.2435157047082144,0.26732808259461116,63.06442
PLAID,36.102878,13.165959,26.9253,10.465404,2.845462,2.148492,2.150337,2.910189,2.910157,103.7233757357396,104.17398884829876,1130.77061
ShakeGestureWiimoteZ,6.447103,1.563605,4.100025,0.303646,2.686112,0.106345,0.106342,0.044641,0.044615,3.9851567429235226,3.8872785614103713,69.064856
AsphaltObstaclesCoordinates,33.245649,5.119264,38.775511,1.293413,2.011544,3.275742,3.275431,2.396266,2.39612,,,1065.08416
AsphaltPavementTypeCoordinates,70.936166,5.386125,39.611204,6.618367,1.851095,11.750232,11.749329,20.654076,11.659363,,66.57724590195556,2853.240524
AsphaltRegularityCoordinates,17.336524,2.397288,38.80616,1.471234,1.532621,8.188034,8.188031,6.454072,6.453909,14.183331894531005,,2034.397109
CharacterTrajectories,26.945508,25.484935,49.689616,21.836218,4.567645,5.020453,5.005786,20.985955,18.507321,217.65380254761024,,3623.884145
InsectWingbeat,7845.530297,,,0.619833,3.683759,269.576203,269.546408,5269.669034,5080.556472,,,
JapaneseVowels,11.141533,4.292308,38.902049,0.052893,3.530313,0.444187,0.444932,1.013929,0.777696,,,701.303524
SpokenArabicDigits,19.301163,,136.766855,0.299618,3.668176,28.391484,28.435561,376.648953,351.307546,,3.8309112540070864,
ArticularyWordRecognition,122.078614,7.651149,40.774636,169.821205,6.016792,3.078953,3.07895,3.62493,3.624874,1697.319519299755,1697.7420716115203,906.432338
AtrialFibrillation,14.432757,0.494905,2.901281,1.009913,1.711405,0.191164,0.191161,0.192196,0.19214,9.21698315397696,9.633248898115715,41.347592
ERing,5.819298,0.6722,3.371606,0.908099,2.458683,0.072148,0.072145,0.077282,0.071546,8.716298566684065,10.00924867698382,50.599249
HandMovementDirection,89.308705,2.55345,41.106785,8.680785,2.672255,5.388382,5.389193,5.589622,5.328006,86.1870303338965,86.23799623497665,608.027903
Heartbeat,368.573991,1.817508,40.731751,57.628222,2.258495,40.663925,40.664204,40.991758,40.991702,575.5748791280929,576.5192691333821,1134.613054
SelfRegulationSCP2,60.773046,1.832006,44.851158,8.275328,2.004621,13.83872,13.842566,14.159263,14.159207,83.11306985938836,83.25105589257572,854.377969
StandWalkJump,112.827834,0.777088,4.194784,5.232989,1.970361,1.07396,1.073957,1.074249,0.963049,52.12491147182352,52.754335003113106,57.21431
